f	m	p	d	mean	sd
0.1	1	3	1	0.54745612	0.22021709433535264
0.1	1	3	2	0.38622592	0.25183316259109645
0.1	1	3	3	0.4252291199999999	0.2366483283879808
0.1	1	3	4	0.43344372	0.2225926424581046
0.1	1	3	5	0.48276315999999997	0.21487995106294677
0.1	1	4	1	0.6802813600000001	0.13757170107805747
0.1	1	4	2	0.56881448	0.16571814745938238
0.1	1	4	3	0.55005932	0.18020219801882995
0.1	1	4	4	0.5918378	0.14508819749283536
0.1	1	4	5	0.53627632	0.19337229536057537
0.1	1	5	1	0.64113556	0.15653965741078646
0.1	1	5	2	0.6574004800000001	0.17243413294707519
0.1	1	5	3	0.5487890799999999	0.2008163223777231
0.1	1	5	4	0.66058604	0.13332670372854194
0.1	1	5	5	0.6645124800000001	0.1158688620615979
0.1	2	3	1	0.09846692000000001	0.1753567335235052
0.1	2	3	2	0.05077116	0.12782832230775149
0.1	2	3	3	0.050554800000000004	0.11051701141236132
0.1	2	3	4	0.08465488	0.16343888473048757
0.1	2	3	5	0.056961639999999994	0.1290843695632837
0.1	2	4	1	0.1548162	0.23075220250901182
0.1	2	4	2	0.10827236	0.18871136613174735
0.1	2	4	3	0.06780208	0.12749264737950028
0.1	2	4	4	0.10560228	0.15936240266462354
0.1	2	4	5	0.09513120000000001	0.16905739005816928
0.1	2	5	1	0.11852399999999999	0.20789089557246127
0.1	2	5	2	0.14964416	0.22655633883935888
0.1	2	5	3	0.12123156	0.1891387571833081
0.1	2	5	4	0.13728888	0.20472267657068574
0.1	2	5	5	0.18122667999999997	0.21820633519551536
0.1	3	3	1	0.026970960000000002	0.10747873459488812
0.1	3	3	2	0.00816816	0.05717712000000001
0.1	3	3	3	0.01353804	0.07001925541619534
0.1	3	3	4	0.00998556	0.06989891999999999
0.1	3	3	5	0.00493056	0.03451392
0.1	3	4	1	0.0104062	0.05139188830661897
0.1	3	4	2	0.004816	0.033712
0.1	3	4	3	0.012914799999999999	0.06699513371223316
0.1	3	4	4	0.01269196	0.0718726463088594
0.1	3	4	5	0.006682240000000001	0.04677567999999999
0.1	3	5	1	0.004816	0.033712
0.1	3	5	2	0.00986544	0.06905808
0.1	3	5	3	0.00907584	0.06353088
0.1	3	5	4	0.00559104	0.03913728
0.1	3	5	5	0.01395796	0.05626533380402537
0.2	1	3	1	0.53659496	0.21551152207870097
0.2	1	3	2	0.6329429599999999	0.14565278590084846
0.2	1	3	3	0.6520786	0.14033574979298752
0.2	1	3	4	0.6101144000000001	0.17468103098665294
0.2	1	3	5	0.64558292	0.13449240280593397
0.2	1	4	1	0.60994816	0.17962664839308892
0.2	1	4	2	0.63978736	0.11874712531388033
0.2	1	4	3	0.71315848	0.13060826484081936
0.2	1	4	4	0.6970289199999999	0.14758522685429462
0.2	1	4	5	0.57919188	0.22041389229807093
0.2	1	5	1	0.6602718799999999	0.11445447712652222
0.2	1	5	2	0.6392359200000001	0.16035578991278612
0.2	1	5	3	0.66367692	0.1168872174405465
0.2	1	5	4	0.67201636	0.1847617187318585
0.2	1	5	5	0.620776	0.1892169007208394
0.2	2	3	1	0.06871395999999999	0.14111824319229033
0.2	2	3	2	0.10564612000000001	0.17209787097412216
0.2	2	3	3	0.12347832	0.20047897360884906
0.2	2	3	4	0.13321584	0.1864237007686909
0.2	2	3	5	0.13121631999999997	0.1948232973848292
0.2	2	4	1	0.18619916000000003	0.22807072171520484
0.2	2	4	2	0.09442304	0.18786175167467806
0.2	2	4	3	0.26786728	0.24590148823258798
0.2	2	4	4	0.2443254	0.250910793081605
0.2	2	4	5	0.284443	0.2513659754522875
0.2	2	5	1	0.18762712	0.23562497049783496
0.2	2	5	2	0.17925932000000003	0.23748076270876675
0.2	2	5	3	0.15132024	0.2078260786179213
0.2	2	5	4	0.5059897999999999	0.23140184913081402
0.2	2	5	5	0.5386028399999999	0.1732053593656224
0.2	3	3	1	0.00997084	0.06979588
0.2	3	3	2	0.00775324	0.05427268000000001
0.2	3	3	3	0.010674999999999999	0.05366704724838138
0.2	3	3	4	0.00816816	0.05717712000000001
0.2	3	3	5	0.015314679999999999	0.07857855334032052
0.2	3	4	1	0.0	0.0
0.2	3	4	2	0.020612079999999998	0.08687911775699382
0.2	3	4	3	0.0151546	0.05813980572550961
0.2	3	4	4	0.013828720000000001	0.07193916821955618
0.2	3	4	5	0.03278328	0.10417880413194233
0.2	3	5	1	0.02871316	0.11367262187815676
0.2	3	5	2	0.04029896	0.12633497736303434
0.2	3	5	3	0.01308924	0.07056171472620547
0.2	3	5	4	0.043133239999999996	0.10150462711887769
