f	m	p	d	mean	sd
0.4	1	4	3	1.1	1.004987562112089
0.4	1	4	4	1.34	1.0697663296253066
0.4	1	4	5	1.46	0.9425497334358544
0.4	1	5	1	0.0	0.0
0.4	1	5	2	0.0	0.0
0.4	1	5	3	0.2	0.5291502622129182
0.4	1	5	4	1.16	0.9024411338142783
0.4	1	5	5	1.66	1.0121264743103997
0.4	2	3	1	0.0	0.0
0.4	2	3	2	0.02	0.13999999999999999
0.4	2	3	3	0.06	0.31048349392520047
0.4	2	3	4	0.1	0.3
0.4	2	3	5	0.1	0.3
0.4	2	4	1	0.0	0.0
0.4	2	4	2	0.0	0.0
0.4	2	4	3	0.1	0.3
0.4	2	4	4	0.4	0.7211102550927979
0.4	2	4	5	0.24	0.6183849933496123
0.4	2	5	1	0.0	0.0
0.4	2	5	2	0.0	0.0
0.4	2	5	3	0.02	0.13999999999999999
0.4	2	5	4	0.84	0.8089499366462674
0.4	2	5	5	1.18	0.9526804291051644
0.4	3	3	1	0.0	0.0
0.4	3	3	2	0.0	0.0
0.4	3	3	3	0.02	0.13999999999999999
0.4	3	3	4	0.02	0.13999999999999999
0.4	3	3	5	0.0	0.0
0.4	3	4	1	0.0	0.0
0.4	3	4	2	0.0	0.0
0.4	3	4	3	0.02	0.13999999999999999
0.4	3	4	4	0.0	0.0
0.4	3	4	5	0.02	0.13999999999999999
0.4	3	5	1	0.0	0.0
0.4	3	5	2	0.0	0.0
0.4	3	5	3	0.0	0.0
0.4	3	5	4	0.06	0.23748684174075835
0.4	3	5	5	0.04	0.27999999999999997
0.5	1	3	1	0.18	0.554616984954482
0.5	1	3	2	0.88	0.8158431221748456
0.5	1	3	3	1.26	0.9759098319004682
0.5	1	3	4	1.16	1.0461357464497616
0.5	1	3	5	0.94	0.9254188241007419
0.5	1	4	1	0.0	0.0
0.5	1	4	2	0.26	0.4386342439892262
0.5	1	4	3	1.52	0.8997777503361595
0.5	1	4	4	1.88	0.8863407922464136
0.5	1	4	5	1.88	0.9724196624914574
0.5	1	5	1	0.0	0.0
0.5	1	5	2	0.0	0.0
0.5	1	5	3	0.4	0.5291502622129182
0.5	1	5	4	1.62	0.8919641248391103
0.5	1	5	5	1.72	1.0007996802557442
0.5	2	3	1	0.0	0.0
0.5	2	3	2	0.06	0.23748684174075835
0.5	2	3	3	0.12	0.3249615361854384
0.5	2	3	4	0.04	0.19595917942265428
0.5	2	3	5	0.12	0.43081318457076034
0.5	2	4	1	0.0	0.0
0.5	2	4	2	0.0	0.0
0.5	2	4	3	0.48	0.6705221845696083
0.5	2	4	4	0.42	0.7236021006050218
0.5	2	4	5	0.56	0.8979977728257459
0.5	2	5	1	0.02	0.13999999999999999
0.5	2	5	2	0.0	0.0
0.5	2	5	3	0.28	0.530659966456864
0.5	2	5	4	1.26	0.9123595782365636
0.5	2	5	5	1.48	0.9846826900072938
0.5	3	3	1	0.0	0.0
0.5	3	3	2	0.0	0.0
0.5	3	3	3	0.0	0.0
0.5	3	3	4	0.0	0.0
0.5	3	3	5	0.0	0.0
0.5	3	4	1	0.0	0.0
0.5	3	4	2	0.0	0.0
0.5	3	4	3	0.0	0.0
0.5	3	4	4	0.02	0.13999999999999999
0.5	3	4	5	0.0	0.0
