f	m	p	d	mean	sd
0.1	1	3	1	1.1003955513304962	0.43549934929298906
0.1	1	3	2	1.0193194620981305	0.45160715487994574
0.1	1	3	3	1.0546496925666031	0.44008837055382716
0.1	1	3	4	1.088662803617518	0.42707963247176123
0.1	1	3	5	1.1173756952539984	0.37967633640952997
0.1	1	4	1	1.3655726886032613	0.3328982126061842
0.1	1	4	2	1.2310645173058439	0.35911872865725714
0.1	1	4	3	1.4063280671573053	0.398295299106956
0.1	1	4	4	1.3891749635373478	0.3139676868564131
0.1	1	4	5	1.3475657515821395	0.3683927559459823
0.1	1	5	1	1.278557709450283	0.3475659166340963
0.1	1	5	2	1.3374749323814132	0.37090568970723065
0.1	1	5	3	1.2919948038785742	0.3916322337835376
0.1	1	5	4	1.7046435354989717	0.3439139596329185
0.1	1	5	5	1.64341200790499	0.3447060541274103
0.1	2	3	1	0.16820847310558215	0.2785490749540242
0.1	2	3	2	0.09859808985855921	0.20629438069831643
0.1	2	3	3	0.09647779861113763	0.18991407787179282
0.1	2	3	4	0.18423174405406353	0.2807233685332494
0.1	2	3	5	0.10167416384161809	0.21998712085629882
0.1	2	4	1	0.25891400759726374	0.36251577203730423
0.1	2	4	2	0.1800066135366223	0.26909552737033127
0.1	2	4	3	0.18143011140806117	0.22182817877538416
0.1	2	4	4	0.22033751047699174	0.27960825387567767
0.1	2	4	5	0.19063764704205974	0.26034341066887795
0.1	2	5	1	0.18700760283878867	0.32460847220462685
0.1	2	5	2	0.2481512692856207	0.36229572218561223
0.1	2	5	3	0.2133778330993862	0.29748650784797775
0.1	2	5	4	0.3367654822916156	0.3874991282681631
0.1	2	5	5	0.42168702503502525	0.36614183997194977
0.1	3	3	1	0.051033610508015616	0.1761860593857696
0.1	3	3	2	0.01833944068617934	0.09410923442887338
0.1	3	3	3	0.0205878408349687	0.10407281957495583
0.1	3	3	4	0.02352137006909266	0.10665617252458157
0.1	3	3	5	0.00824317443731724	0.057702221061220686
0.1	3	4	1	0.01713260912162254	0.08431330527294192
0.1	3	4	2	0.008099269701278779	0.05669488790895147
0.1	3	4	3	0.03687923136147868	0.11884178694191372
0.1	3	4	4	0.024112092792345923	0.10776253838277733
0.1	3	4	5	0.020898446378019457	0.08789563420809225
0.1	3	5	1	0.008099269701278779	0.05669488790895146
0.1	3	5	2	0.013728080201900462	0.09609656141330324
0.1	3	5	3	0.023927545225434322	0.10395176135463961
0.1	3	5	4	0.02856601551903672	0.09039224574513102
0.1	3	5	5	0.03387984785066122	0.10489534641363418
0.2	1	3	1	1.2451592665994817	0.38849177309209953
0.2	1	3	2	1.4466165328053868	0.3644981941556792
0.2	1	3	3	1.4803494340446803	0.3767857267799474
0.2	1	3	4	1.4147294832047737	0.37153723143294837
0.2	1	3	5	1.556602008827125	0.32659471315723676
0.2	1	4	1	1.2239808209738146	0.3597573555193516
0.2	1	4	2	1.6615478026629278	0.27364510445097157
0.2	1	4	3	1.8010922736244057	0.43730512809757893
0.2	1	4	4	1.6886694910571303	0.4380283874520868
0.2	1	4	5	1.3847555612574163	0.6172217887915963
0.2	1	5	1	1.3359954712721882	0.2912153173851822
0.2	1	5	2	1.3370874836751059	0.3006923214155466
0.2	1	5	3	1.925936149363518	0.2949328576711248
0.2	1	5	4	1.6686675953531998	0.5815220828493913
0.2	1	5	5	1.4473055505838557	0.4967099454501879
0.2	2	3	1	0.13693936694775238	0.22308193629764628
0.2	2	3	2	0.2612276560638697	0.29492853136808517
0.2	2	3	3	0.26191794689622255	0.33149163743430254
0.2	2	3	4	0.2995390374442711	0.3265842728259969
0.2	2	3	5	0.2643960784927241	0.3345889149067796
0.2	2	4	1	0.2845916617474403	0.352691548435939
0.2	2	4	2	0.2865405387852351	0.3362174598927225
0.2	2	4	3	0.6133949704762455	0.49101745184244866
0.2	2	4	4	0.4809873698788919	0.45509003848352364
0.2	2	4	5	0.6548247433399405	0.4326218574318545
0.2	2	5	1	0.30893382751044823	0.38143271753508307
0.2	2	5	2	0.34160826666329924	0.35704625556169955
0.2	2	5	3	0.5027556386863372	0.34099502440185653
0.2	2	5	4	1.1347137492186992	0.47402953151926136
0.2	2	5	5	1.16368312976843	0.3721946351457853
0.2	3	3	1	0.0138337694228831	0.09683638596018172
0.2	3	3	2	0.011523429839516881	0.08066400887661818
0.2	3	3	3	0.02187440743801236	0.09113497812824495
0.2	3	3	4	0.01754601115491566	0.09171246565773927
0.2	3	3	5	0.037708244259171464	0.12618207173584076
0.2	3	4	1	0.0040289844366475	0.02820289105653249
0.2	3	4	2	0.050315889873669264	0.1407969291613292
0.2	3	4	3	0.03517424092238005	0.1050810656824245
0.2	3	4	4	0.03568225904553688	0.11920539529693494
0.2	3	4	5	0.055228931994389344	0.1580426603579186
0.2	3	5	1	0.040290817218671865	0.15949229536258944
0.2	3	5	2	0.06931464980709884	0.18511836896854125
0.2	3	5	3	0.049963848314682605	0.13552411081969992
0.2	3	5	4	0.11599229848376709	0.1971759385731178
0.2	3	5	5	0.13561657621068257	0.22867620844060066
0.3	1	3	1	1.517956478091137	0.37937771586100205
0.3	1	3	2	1.6181064774047627	0.3649220140333585
0.3	1	3	3	1.4022404888974123	0.49861529133978794
0.3	1	3	4	1.4328845191207396	0.4611907092766316
0.3	1	3	5	1.3733465448432904	0.5148339084637504
0.3	1	4	1	1.2772297076050718	0.30051084940213346
0.3	1	4	2	2.1597070038383537	0.28735129401235
0.3	1	4	3	1.58229094763892	0.40397468512510876
0.3	1	4	4	1.2741605138204806	0.528903916407497
0.3	1	4	5	1.1762670446064696	0.644108830983482
0.3	1	5	1	1.177961588079224	0.27686781919345166
0.3	1	5	2	1.3770929918525079	0.26396984125945416
0.3	1	5	3	2.3078706636054473	0.2795321183577949
0.3	1	5	4	1.3203073976948827	0.5818132310025808
0.3	1	5	5	1.1639773246704972	0.6737572299772842
0.3	2	3	1	0.3181978913538823	0.35572186776640596
0.3	2	3	2	0.450937790714519	0.40443093041390515
0.3	2	3	3	0.4638675564781981	0.3952651374878292
0.3	2	3	4	0.49904898473915166	0.37032796158080467
0.3	2	3	5	0.44102134517606545	0.4109518898338769
0.3	2	4	1	0.40105517801120016	0.3847759861202602
0.3	2	4	2	0.6042918761330449	0.3488767915732758
0.3	2	4	3	1.1459065697882238	0.3568010712668459
0.3	2	4	4	1.0846664950137572	0.3402332061530775
0.3	2	4	5	1.0723907768855212	0.3734630889439174
0.3	2	5	1	0.428321633225239	0.44592545922180926
0.3	2	5	2	0.5185416038821882	0.35297670850486285
0.3	2	5	3	1.370200179154454	0.36942817354157137
0.3	2	5	4	1.5708732897282396	0.42506241961599184
0.3	2	5	5	1.3932445964538716	0.5279703997209716
0.3	3	3	1	0.01834975640403442	0.09665365343284983
0.3	3	3	2	0.03676007841410928	0.12296057839979158
0.3	3	3	3	0.03244268838229896	0.11974486413813792
0.3	3	3	4	0.0264169237400852	0.08631290170450705
0.3	3	3	5	0.062030145290153424	0.18019432707787783
0.3	3	4	1	0.02836105663273214	0.12649138067649182
0.3	3	4	2	0.05285147139808501	0.12804070858891178
0.3	3	4	3	0.14985223960750926	0.28294858018240465
0.3	3	4	4	0.09554404373908819	0.1773506424656179
0.3	3	4	5	0.24073470995722926	0.3193240375227497
0.3	3	5	1	0.05035827950581265	0.1517522416913242
0.3	3	5	2	0.04566155567656894	0.1303143867370636
0.3	3	5	3	0.11459904878660634	0.1939370342312937
0.3	3	5	4	0.3875684861020086	0.3811441098694311
0.3	3	5	5	0.4230495193659402	0.3835734581104191
0.4	1	3	1	1.785973033903534	0.3217070014517661
0.4	1	3	2	1.394422745966535	0.4674207114299992
0.4	1	3	3	1.205842997203733	0.5423700501206735
0.4	1	3	4	1.148983417663116	0.47881459618210026
0.4	1	3	5	1.1103325600819878	0.5402344692754255
0.4	1	4	1	1.26529172496564	0.2499103788716158
0.4	1	4	2	2.133349661183337	0.34258402151950573
0.4	1	4	3	1.166427964949405	0.5565904997896464
0.4	1	4	4	0.9407887465443868	0.5950431876265131
0.4	1	4	5	0.923394737115056	0.5405540054645366
0.4	1	5	1	1.1111653071380685	0.24865671565175995
0.4	1	5	2	1.5171236681254419	0.2810072837241921
0.4	1	5	3	2.154355302976411	0.4471036136791483
0.4	1	5	4	1.2217969656071275	0.5917297445472504
0.4	1	5	5	0.8367488924266199	0.5810607887785885
0.4	2	3	1	0.31699979143890233	0.34896608137099044
0.4	2	3	2	0.6171121849745534	0.42641110865556675
0.4	2	3	3	0.6429833699218004	0.4156145728379715
0.4	2	3	4	0.6628882707834918	0.5029306474253252
0.4	2	3	5	0.6893598908803646	0.4181047631522474
0.4	2	4	1	0.3899570923587769	0.39265506162054237
0.4	2	4	2	1.072362602185245	0.45469449783206406
